2017-05-29 14:26:51 INFO  DistriOptimizer$:697 - caching training rdd ...
2017-05-29 14:26:53 INFO  DistriOptimizer$:530 - Cache thread models...
2017-05-29 14:26:53 INFO  DistriOptimizer$:515 - model thread pool size is 1
2017-05-29 14:26:53 INFO  DistriOptimizer$:532 - Cache thread models... done
2017-05-29 14:26:53 INFO  DistriOptimizer$:118 - config  {
2017-05-29 14:26:53 INFO  DistriOptimizer$:119 - Shuffle data
2017-05-29 14:26:53 INFO  DistriOptimizer$:122 - Shuffle data complete. Takes 0.021114441s
2017-05-29 14:26:53 INFO  DistriOptimizer$:280 - [Epoch 1 0/32561][Iteration 1][Wall Clock 0.0s] Train 256 in 0.318120388seconds. Throughput is 804.7268 records/second. Loss is 30565.014. 
2017-05-29 14:26:53 INFO  DistriOptimizer$:280 - [Epoch 1 256/32561][Iteration 2][Wall Clock 0.318120388s] Train 256 in 0.093387052seconds. Throughput is 2741.2793 records/second. Loss is 24509.145. 
2017-05-29 14:26:53 INFO  DistriOptimizer$:280 - [Epoch 1 512/32561][Iteration 3][Wall Clock 0.41150744s] Train 256 in 0.064529293seconds. Throughput is 3967.1907 records/second. Loss is 18789.361. 
2017-05-29 14:26:53 INFO  DistriOptimizer$:280 - [Epoch 1 768/32561][Iteration 4][Wall Clock 0.476036733s] Train 256 in 0.070454142seconds. Throughput is 3633.569 records/second. Loss is 10711.863. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 1024/32561][Iteration 5][Wall Clock 0.546490875s] Train 256 in 0.067993737seconds. Throughput is 3765.0527 records/second. Loss is 3308.2424. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 1280/32561][Iteration 6][Wall Clock 0.614484612s] Train 256 in 0.054994479seconds. Throughput is 4655.0127 records/second. Loss is 1372.4631. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 1536/32561][Iteration 7][Wall Clock 0.669479091s] Train 256 in 0.06689887seconds. Throughput is 3826.6716 records/second. Loss is 2792.211. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 1792/32561][Iteration 8][Wall Clock 0.736377961s] Train 256 in 0.05059208seconds. Throughput is 5060.0806 records/second. Loss is 4939.5693. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 2048/32561][Iteration 9][Wall Clock 0.786970041s] Train 256 in 0.070966921seconds. Throughput is 3607.3145 records/second. Loss is 5846.2686. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 2304/32561][Iteration 10][Wall Clock 0.857936962s] Train 256 in 0.057018483seconds. Throughput is 4489.7725 records/second. Loss is 5873.1553. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 2560/32561][Iteration 11][Wall Clock 0.914955445s] Train 256 in 0.056065707seconds. Throughput is 4566.071 records/second. Loss is 8999.184. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 2816/32561][Iteration 12][Wall Clock 0.971021152s] Train 256 in 0.055692746seconds. Throughput is 4596.649 records/second. Loss is 5959.659. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 3072/32561][Iteration 13][Wall Clock 1.026713898s] Train 256 in 0.05219705seconds. Throughput is 4904.4917 records/second. Loss is 7576.6416. 
2017-05-29 14:26:54 INFO  DistriOptimizer$:280 - [Epoch 1 3328/32561][Iteration 14][Wall Clock 1.078910948s] Train 256 in 0.051907145seconds. Throughput is 4931.884 records/second. Loss is 7629.7666. 
